Economic power;NEO nominee split;Economic nominee split;Total consensus nodes; Economic Node NEO Support
0.14285715;1;1;7;1.5000001E7
0.2857143;1;2;7;1.5000001E7
0.42857143;1;3;7;1.5000001E7
0.5714286;1;4;7;1.5000001E7
0.71428573;1;5;7;1.5000001E7
0.85714287;1;6;7;1.5000001E7
0.85714287;1;7;7;1.5000001E7
0.85714287;1;8;7;1.5000001E7
0.85714287;1;9;7;1.5000001E7
0.85714287;1;10;7;1.5000001E7
0.85714287;1;11;7;1.5000001E7
0.85714287;1;12;7;1.5000001E7
0.85714287;1;13;7;1.5000001E7
0.85714287;1;14;7;1.5000001E7
0.85714287;1;15;7;1.5000001E7
0.85714287;1;16;7;1.5000001E7
0.85714287;1;17;7;1.5000001E7
0.85714287;1;18;7;1.5000001E7
0.85714287;1;19;7;1.5000001E7
0.85714287;1;20;7;1.5000001E7
0.85714287;1;21;7;1.5000001E7
0.85714287;1;22;7;1.5000001E7
0.85714287;1;23;7;1.5000001E7
0.85714287;1;24;7;1.5000001E7
0.85714287;1;25;7;1.5000001E7
0.85714287;1;26;7;1.5000001E7
0.85714287;1;27;7;1.5000001E7
0.85714287;1;28;7;1.5000001E7
0.85714287;1;29;7;1.5000001E7
0.85714287;1;30;7;1.5000001E7
0.85714287;1;31;7;1.5000001E7
0.85714287;1;32;7;1.5000001E7
0.85714287;1;33;7;1.5000001E7
0.85714287;1;34;7;1.5000001E7
0.85714287;1;35;7;1.5000001E7
0.85714287;1;36;7;1.5000001E7
0.85714287;1;37;7;1.5000001E7
0.85714287;1;38;7;1.5000001E7
0.85714287;1;39;7;1.5000001E7
0.85714287;1;40;7;1.5000001E7
0.85714287;1;41;7;1.5000001E7
0.85714287;1;42;7;1.5000001E7
0.85714287;1;43;7;1.5000001E7
0.85714287;1;44;7;1.5000001E7
0.85714287;1;45;7;1.5000001E7
0.85714287;1;46;7;1.5000001E7
0.85714287;1;47;7;1.5000001E7
0.85714287;1;48;7;1.5000001E7
0.85714287;1;49;7;1.5000001E7
0.85714287;1;50;7;1.5000001E7
0.85714287;1;51;7;1.5000001E7
0.85714287;1;52;7;1.5000001E7
0.85714287;1;53;7;1.5000001E7
