Economic power;NEO nominee split;Economic nominee split;Total consensus nodes; Economic Node NEO Support
0.14285715;1;1;7;2.5E7
0.2857143;1;2;7;2.5E7
0.42857143;1;3;7;2.5E7
0.5714286;1;4;7;2.5E7
0.71428573;1;5;7;2.5E7
0.85714287;1;6;7;2.5E7
0.85714287;1;7;7;2.5E7
0.85714287;1;8;7;2.5E7
0.85714287;1;9;7;2.5E7
0.85714287;1;10;7;2.5E7
0.85714287;1;11;7;2.5E7
0.85714287;1;12;7;2.5E7
0.85714287;1;13;7;2.5E7
0.85714287;1;14;7;2.5E7
0.85714287;1;15;7;2.5E7
0.85714287;1;16;7;2.5E7
0.85714287;1;17;7;2.5E7
0.85714287;1;18;7;2.5E7
0.85714287;1;19;7;2.5E7
0.85714287;1;20;7;2.5E7
0.85714287;1;21;7;2.5E7
0.85714287;1;22;7;2.5E7
0.85714287;1;23;7;2.5E7
0.85714287;1;24;7;2.5E7
0.85714287;1;25;7;2.5E7
0.85714287;1;26;7;2.5E7
0.85714287;1;27;7;2.5E7
0.875;1;28;8;2.5E7
0.875;1;29;8;2.5E7
0.875;1;30;8;2.5E7
0.8888889;1;31;9;2.5E7
0.8888889;1;32;9;2.5E7
0.8888889;1;33;9;2.5E7
0.8888889;1;34;9;2.5E7
0.9;1;35;10;2.5E7
0.9;1;36;10;2.5E7
0.9;1;37;10;2.5E7
0.9;1;38;10;2.5E7
0.90909094;1;39;11;2.5E7
0.90909094;1;40;11;2.5E7
0.90909094;1;41;11;2.5E7
0.9166667;1;42;12;2.5E7
0.9166667;1;43;12;2.5E7
0.9166667;1;44;12;2.5E7
0.9166667;1;45;12;2.5E7
0.9230769;1;46;13;2.5E7
0.9230769;1;47;13;2.5E7
0.9230769;1;48;13;2.5E7
0.9230769;1;49;13;2.5E7
0.9285714;1;50;14;2.5E7
0.9285714;1;51;14;2.5E7
0.9285714;1;52;14;2.5E7
0.9285714;1;53;14;2.5E7
0.93333334;1;54;15;2.5E7
0.93333334;1;55;15;2.5E7
0.93333334;1;56;15;2.5E7
0.9375;1;57;16;2.5E7
0.9375;1;58;16;2.5E7
0.9375;1;59;16;2.5E7
0.9375;1;60;16;2.5E7
0.9411765;1;61;17;2.5E7
0.9411765;1;62;17;2.5E7
0.9411765;1;63;17;2.5E7
0.9411765;1;64;17;2.5E7
0.9444444;1;65;18;2.5E7
0.9444444;1;66;18;2.5E7
0.9444444;1;67;18;2.5E7
0.94736844;1;68;19;2.5E7
0.94736844;1;69;19;2.5E7
0.94736844;1;70;19;2.5E7
0.94736844;1;71;19;2.5E7
0.95;1;72;20;2.5E7
0.95;1;73;20;2.5E7
0.95;1;74;20;2.5E7
0.95;1;75;20;2.5E7
0.95238096;1;76;21;2.5E7
0.95238096;1;77;21;2.5E7
0.95238096;1;78;21;2.5E7
0.95238096;1;79;21;2.5E7
0.95454544;1;80;22;2.5E7
0.95454544;1;81;22;2.5E7
0.95454544;1;82;22;2.5E7
0.95652175;1;83;23;2.5E7
0.95652175;1;84;23;2.5E7
0.95652175;1;85;23;2.5E7
0.95652175;1;86;23;2.5E7
0.9583333;1;87;24;2.5E7
0.9583333;1;88;24;2.5E7
0.9583333;1;89;24;2.5E7
0.9583333;1;90;24;2.5E7
0.96;1;91;25;2.5E7
0.96;1;92;25;2.5E7
0.96;1;93;25;2.5E7
0.96153843;1;94;26;2.5E7
0.96153843;1;95;26;2.5E7
0.96153843;1;96;26;2.5E7
0.96153843;1;97;26;2.5E7
0.962963;1;98;27;2.5E7
0.962963;1;99;27;2.5E7
0.962963;1;100;27;2.5E7
0.962963;1;101;27;2.5E7
0.96428573;1;102;28;2.5E7
0.96428573;1;103;28;2.5E7
0.96428573;1;104;28;2.5E7
0.96428573;1;105;28;2.5E7
0.9655172;1;106;29;2.5E7
0.9655172;1;107;29;2.5E7
0.9655172;1;108;29;2.5E7
0.96666664;1;109;30;2.5E7
0.96666664;1;110;30;2.5E7
0.96666664;1;111;30;2.5E7
0.96666664;1;112;30;2.5E7
0.9677419;1;113;31;2.5E7
0.9677419;1;114;31;2.5E7
0.9677419;1;115;31;2.5E7
0.9677419;1;116;31;2.5E7
0.96875;1;117;32;2.5E7
0.96875;1;118;32;2.5E7
0.96875;1;119;32;2.5E7
0.969697;1;120;33;2.5E7
0.969697;1;121;33;2.5E7
0.969697;1;122;33;2.5E7
0.969697;1;123;33;2.5E7
0.9705882;1;124;34;2.5E7
0.9705882;1;125;34;2.5E7
0.9705882;1;126;34;2.5E7
0.9705882;1;127;34;2.5E7
0.9714286;1;128;35;2.5E7
0.9714286;1;129;35;2.5E7
0.9714286;1;130;35;2.5E7
0.9714286;1;131;35;2.5E7
0.9722222;1;132;36;2.5E7
0.9722222;1;133;36;2.5E7
0.9722222;1;134;36;2.5E7
0.972973;1;135;37;2.5E7
0.972973;1;136;37;2.5E7
0.972973;1;137;37;2.5E7
0.972973;1;138;37;2.5E7
0.9736842;1;139;38;2.5E7
0.9736842;1;140;38;2.5E7
0.9736842;1;141;38;2.5E7
0.9736842;1;142;38;2.5E7
0.974359;1;143;39;2.5E7
0.974359;1;144;39;2.5E7
0.974359;1;145;39;2.5E7
0.975;1;146;40;2.5E7
0.975;1;147;40;2.5E7
0.975;1;148;40;2.5E7
0.975;1;149;40;2.5E7
0.9756098;1;150;41;2.5E7
0.9756098;1;151;41;2.5E7
0.9756098;1;152;41;2.5E7
0.9756098;1;153;41;2.5E7
0.97619045;1;154;42;2.5E7
0.97619045;1;155;42;2.5E7
0.97619045;1;156;42;2.5E7
0.97619045;1;157;42;2.5E7
