Economic power;NEO nominee split;Economic nominee split;Total consensus nodes; Economic Node NEO Support
0.14285715;1;1;7;2.0E7
0.2857143;1;2;7;2.0E7
0.42857143;1;3;7;2.0E7
0.5714286;1;4;7;2.0E7
0.71428573;1;5;7;2.0E7
0.85714287;1;6;7;2.0E7
0.85714287;1;7;7;2.0E7
0.85714287;1;8;7;2.0E7
0.85714287;1;9;7;2.0E7
0.85714287;1;10;7;2.0E7
0.85714287;1;11;7;2.0E7
0.85714287;1;12;7;2.0E7
0.85714287;1;13;7;2.0E7
0.85714287;1;14;7;2.0E7
0.85714287;1;15;7;2.0E7
0.85714287;1;16;7;2.0E7
0.85714287;1;17;7;2.0E7
0.85714287;1;18;7;2.0E7
0.85714287;1;19;7;2.0E7
0.85714287;1;20;7;2.0E7
0.85714287;1;21;7;2.0E7
0.85714287;1;22;7;2.0E7
0.85714287;1;23;7;2.0E7
0.85714287;1;24;7;2.0E7
0.85714287;1;25;7;2.0E7
0.85714287;1;26;7;2.0E7
0.85714287;1;27;7;2.0E7
0.85714287;1;28;7;2.0E7
0.85714287;1;29;7;2.0E7
0.85714287;1;30;7;2.0E7
0.85714287;1;31;7;2.0E7
0.85714287;1;32;7;2.0E7
0.85714287;1;33;7;2.0E7
0.85714287;1;34;7;2.0E7
0.85714287;1;35;7;2.0E7
0.85714287;1;36;7;2.0E7
0.85714287;1;37;7;2.0E7
0.85714287;1;38;7;2.0E7
0.85714287;1;39;7;2.0E7
0.85714287;1;40;7;2.0E7
0.85714287;1;41;7;2.0E7
0.85714287;1;42;7;2.0E7
0.85714287;1;43;7;2.0E7
0.85714287;1;44;7;2.0E7
0.85714287;1;45;7;2.0E7
0.85714287;1;46;7;2.0E7
0.85714287;1;47;7;2.0E7
0.85714287;1;48;7;2.0E7
0.85714287;1;49;7;2.0E7
0.85714287;1;50;7;2.0E7
0.85714287;1;51;7;2.0E7
0.85714287;1;52;7;2.0E7
0.85714287;1;53;7;2.0E7
0.85714287;1;54;7;2.0E7
0.85714287;1;55;7;2.0E7
0.85714287;1;56;7;2.0E7
0.85714287;1;57;7;2.0E7
0.85714287;1;58;7;2.0E7
0.85714287;1;59;7;2.0E7
0.85714287;1;60;7;2.0E7
0.85714287;1;61;7;2.0E7
0.875;1;62;8;2.0E7
0.875;1;63;8;2.0E7
0.875;1;64;8;2.0E7
0.875;1;65;8;2.0E7
0.875;1;66;8;2.0E7
0.875;1;67;8;2.0E7
0.875;1;68;8;2.0E7
0.875;1;69;8;2.0E7
0.875;1;70;8;2.0E7
0.8888889;1;71;9;2.0E7
0.8888889;1;72;9;2.0E7
0.8888889;1;73;9;2.0E7
0.8888889;1;74;9;2.0E7
0.8888889;1;75;9;2.0E7
0.8888889;1;76;9;2.0E7
0.8888889;1;77;9;2.0E7
0.8888889;1;78;9;2.0E7
0.8888889;1;79;9;2.0E7
0.9;1;80;10;2.0E7
0.9;1;81;10;2.0E7
0.9;1;82;10;2.0E7
0.9;1;83;10;2.0E7
0.9;1;84;10;2.0E7
0.9;1;85;10;2.0E7
0.9;1;86;10;2.0E7
0.9;1;87;10;2.0E7
0.90909094;1;88;11;2.0E7
0.90909094;1;89;11;2.0E7
0.90909094;1;90;11;2.0E7
0.90909094;1;91;11;2.0E7
0.90909094;1;92;11;2.0E7
0.90909094;1;93;11;2.0E7
0.90909094;1;94;11;2.0E7
