Economic power;NEO nominee split;Economic nominee split;Total consensus nodes; Economic Node NEO Support
0.14285715;1;1;7;2.5E7
0.2857143;1;2;7;2.5E7
0.42857143;1;3;7;2.5E7
0.5714286;1;4;7;2.5E7
0.71428573;1;5;7;2.5E7
0.85714287;1;6;7;2.5E7
0.85714287;1;7;7;2.5E7
0.85714287;1;8;7;2.5E7
0.85714287;1;9;7;2.5E7
0.85714287;1;10;7;2.5E7
0.85714287;1;11;7;2.5E7
0.85714287;1;12;7;2.5E7
0.85714287;1;13;7;2.5E7
0.85714287;1;14;7;2.5E7
0.85714287;1;15;7;2.5E7
0.85714287;1;16;7;2.5E7
0.85714287;1;17;7;2.5E7
0.85714287;1;18;7;2.5E7
0.85714287;1;19;7;2.5E7
0.85714287;1;20;7;2.5E7
0.85714287;1;21;7;2.5E7
0.85714287;1;22;7;2.5E7
0.85714287;1;23;7;2.5E7
0.85714287;1;24;7;2.5E7
0.85714287;1;25;7;2.5E7
0.85714287;1;26;7;2.5E7
0.85714287;1;27;7;2.5E7
0.85714287;1;28;7;2.5E7
0.85714287;1;29;7;2.5E7
0.85714287;1;30;7;2.5E7
0.85714287;1;31;7;2.5E7
0.85714287;1;32;7;2.5E7
0.85714287;1;33;7;2.5E7
0.85714287;1;34;7;2.5E7
0.85714287;1;35;7;2.5E7
0.85714287;1;36;7;2.5E7
0.85714287;1;37;7;2.5E7
0.85714287;1;38;7;2.5E7
0.85714287;1;39;7;2.5E7
0.85714287;1;40;7;2.5E7
0.85714287;1;41;7;2.5E7
0.85714287;1;42;7;2.5E7
0.85714287;1;43;7;2.5E7
0.875;1;44;8;2.5E7
0.875;1;45;8;2.5E7
0.875;1;46;8;2.5E7
0.875;1;47;8;2.5E7
0.875;1;48;8;2.5E7
0.875;1;49;8;2.5E7
0.8888889;1;50;9;2.5E7
0.8888889;1;51;9;2.5E7
0.8888889;1;52;9;2.5E7
0.8888889;1;53;9;2.5E7
0.8888889;1;54;9;2.5E7
0.8888889;1;55;9;2.5E7
0.9;1;56;10;2.5E7
0.9;1;57;10;2.5E7
0.9;1;58;10;2.5E7
0.9;1;59;10;2.5E7
0.9;1;60;10;2.5E7
0.9;1;61;10;2.5E7
0.90909094;1;62;11;2.5E7
0.90909094;1;63;11;2.5E7
0.90909094;1;64;11;2.5E7
0.90909094;1;65;11;2.5E7
0.90909094;1;66;11;2.5E7
0.90909094;1;67;11;2.5E7
0.9166667;1;68;12;2.5E7
0.9166667;1;69;12;2.5E7
0.9166667;1;70;12;2.5E7
0.9166667;1;71;12;2.5E7
0.9166667;1;72;12;2.5E7
0.9166667;1;73;12;2.5E7
0.9230769;1;74;13;2.5E7
0.9230769;1;75;13;2.5E7
0.9230769;1;76;13;2.5E7
0.9230769;1;77;13;2.5E7
0.9230769;1;78;13;2.5E7
0.9230769;1;79;13;2.5E7
0.9285714;1;80;14;2.5E7
0.9285714;1;81;14;2.5E7
0.9285714;1;82;14;2.5E7
0.9285714;1;83;14;2.5E7
0.9285714;1;84;14;2.5E7
0.9285714;1;85;14;2.5E7
0.93333334;1;86;15;2.5E7
0.93333334;1;87;15;2.5E7
0.93333334;1;88;15;2.5E7
0.93333334;1;89;15;2.5E7
0.93333334;1;90;15;2.5E7
0.93333334;1;91;15;2.5E7
0.9375;1;92;16;2.5E7
0.9375;1;93;16;2.5E7
0.9375;1;94;16;2.5E7
0.9375;1;95;16;2.5E7
0.9375;1;96;16;2.5E7
0.9375;1;97;16;2.5E7
0.9411765;1;98;17;2.5E7
0.9411765;1;99;17;2.5E7
0.9411765;1;100;17;2.5E7
0.9411765;1;101;17;2.5E7
0.9411765;1;102;17;2.5E7
0.9411765;1;103;17;2.5E7
0.9444444;1;104;18;2.5E7
0.9444444;1;105;18;2.5E7
0.9444444;1;106;18;2.5E7
0.9444444;1;107;18;2.5E7
0.9444444;1;108;18;2.5E7
0.9444444;1;109;18;2.5E7
0.94736844;1;110;19;2.5E7
0.94736844;1;111;19;2.5E7
0.94736844;1;112;19;2.5E7
0.94736844;1;113;19;2.5E7
0.94736844;1;114;19;2.5E7
0.94736844;1;115;19;2.5E7
0.95;1;116;20;2.5E7
0.95;1;117;20;2.5E7
0.95;1;118;20;2.5E7
0.95;1;119;20;2.5E7
0.95;1;120;20;2.5E7
0.95;1;121;20;2.5E7
0.95238096;1;122;21;2.5E7
0.95238096;1;123;21;2.5E7
0.95238096;1;124;21;2.5E7
0.95238096;1;125;21;2.5E7
0.95238096;1;126;21;2.5E7
0.95238096;1;127;21;2.5E7
0.95454544;1;128;22;2.5E7
0.95454544;1;129;22;2.5E7
0.95454544;1;130;22;2.5E7
0.95454544;1;131;22;2.5E7
0.95454544;1;132;22;2.5E7
0.95454544;1;133;22;2.5E7
0.95652175;1;134;23;2.5E7
0.95652175;1;135;23;2.5E7
0.95652175;1;136;23;2.5E7
0.95652175;1;137;23;2.5E7
0.95652175;1;138;23;2.5E7
0.95652175;1;139;23;2.5E7
0.9583333;1;140;24;2.5E7
0.9583333;1;141;24;2.5E7
0.9583333;1;142;24;2.5E7
0.9583333;1;143;24;2.5E7
0.9583333;1;144;24;2.5E7
0.9583333;1;145;24;2.5E7
0.96;1;146;25;2.5E7
0.96;1;147;25;2.5E7
0.96;1;148;25;2.5E7
0.96;1;149;25;2.5E7
0.96;1;150;25;2.5E7
0.96;1;151;25;2.5E7
0.96153843;1;152;26;2.5E7
0.96153843;1;153;26;2.5E7
0.96153843;1;154;26;2.5E7
0.96153843;1;155;26;2.5E7
0.96153843;1;156;26;2.5E7
