Economic power;NEO nominee split;Economic nominee split;Total consensus nodes; Economic Node NEO Support
0.14285715;1;1;7;2.5E7
0.2857143;1;2;7;1.25E7
0.42857143;1;3;7;8333333.5
0.5714286;1;4;7;6250000.0
0.71428573;1;5;7;5000000.0
0.85714287;1;6;7;4166666.8
0.85714287;1;7;7;3571428.5
0.85714287;1;8;7;3125000.0
0.85714287;1;9;7;2777777.8
0.85714287;1;10;7;2500000.0
0.85714287;1;11;7;2272727.2
0.85714287;1;12;7;2083333.4
0.85714287;1;13;7;1923076.9
0.85714287;1;14;7;1785714.2
0.85714287;1;15;7;1666666.6
0.85714287;1;16;7;1562500.0
0.85714287;1;17;7;1470588.2
0.85714287;1;18;7;1388888.9
0.85714287;1;19;7;1315789.5
0.85714287;1;20;7;1250000.0
0.85714287;1;21;7;1190476.2
0.85714287;1;22;7;1136363.6
0.85714287;1;23;7;1086956.5
0.85714287;1;24;7;1041666.7
0.85714287;1;25;7;1000000.0
0.85714287;1;26;7;961538.44
0.85714287;1;27;7;925925.94
0.85714287;1;28;7;892857.1
0.85714287;1;29;7;862068.94
0.85714287;1;30;7;833333.3
0.85714287;1;31;7;806451.6
0.85714287;1;32;7;781250.0
0.85714287;1;33;7;757575.75
0.875;1;34;8;735294.1
0.875;1;35;8;714285.7
0.875;1;36;8;694444.44
0.875;1;37;8;675675.7
0.875;1;38;8;657894.75
0.8888889;1;39;9;641025.6
0.8888889;1;40;9;625000.0
0.8888889;1;41;9;609756.1
0.8888889;1;42;9;595238.1
0.8888889;1;43;9;581395.4
0.9;1;44;10;568181.8
0.9;1;45;10;555555.56
0.9;1;46;10;543478.25
0.9;1;47;10;531914.9
0.90909094;1;48;11;520833.34
0.90909094;1;49;11;510204.1
0.90909094;1;50;11;500000.0
0.90909094;1;51;11;490196.1
0.90909094;1;52;11;480769.22
0.9166667;1;53;12;471698.12
0.9166667;1;54;12;462962.97
0.9166667;1;55;12;454545.47
0.9166667;1;56;12;446428.56
0.9166667;1;57;12;438596.5
0.9230769;1;58;13;431034.47
0.9230769;1;59;13;423728.8
0.9230769;1;60;13;416666.66
0.9230769;1;61;13;409836.06
0.9285714;1;62;14;403225.8
0.9285714;1;63;14;396825.4
0.9285714;1;64;14;390625.0
0.9285714;1;65;14;384615.38
0.9285714;1;66;14;378787.88
0.93333334;1;67;15;373134.34
0.93333334;1;68;15;367647.06
0.93333334;1;69;15;362318.84
0.93333334;1;70;15;357142.84
0.93333334;1;71;15;352112.7
0.9375;1;72;16;347222.22
0.9375;1;73;16;342465.75
0.9375;1;74;16;337837.84
0.9375;1;75;16;333333.34
0.9411765;1;76;17;328947.38
0.9411765;1;77;17;324675.3
0.9411765;1;78;17;320512.8
0.9411765;1;79;17;316455.7
0.9411765;1;80;17;312500.0
0.9444444;1;81;18;308641.97
0.9444444;1;82;18;304878.06
0.9444444;1;83;18;301204.8
0.9444444;1;84;18;297619.06
0.9444444;1;85;18;294117.66
0.94736844;1;86;19;290697.7
0.94736844;1;87;19;287356.3
0.94736844;1;88;19;284090.9
0.94736844;1;89;19;280898.88
0.95;1;90;20;277777.78
0.95;1;91;20;274725.28
0.95;1;92;20;271739.12
0.95;1;93;20;268817.22
0.95;1;94;20;265957.44
0.95238096;1;95;21;263157.9
0.95238096;1;96;21;260416.67
0.95238096;1;97;21;257731.95
0.95238096;1;98;21;255102.05
0.95238096;1;99;21;252525.25
0.95454544;1;100;22;250000.0
0.95454544;1;101;22;247524.75
0.95454544;1;102;22;245098.05
0.95454544;1;103;22;242718.45
0.95652175;1;104;23;240384.61
0.95652175;1;105;23;238095.23
0.95652175;1;106;23;235849.06
0.95652175;1;107;23;233644.86
0.95652175;1;108;23;231481.48
0.9583333;1;109;24;229357.8
0.9583333;1;110;24;227272.73
0.9583333;1;111;24;225225.22
0.9583333;1;112;24;223214.28
0.9583333;1;113;24;221238.94
0.96;1;114;25;219298.25
0.96;1;115;25;217391.3
0.96;1;116;25;215517.23
0.96;1;117;25;213675.22
0.96153843;1;118;26;211864.4
0.96153843;1;119;26;210084.03
0.96153843;1;120;26;208333.33
0.96153843;1;121;26;206611.56
0.96153843;1;122;26;204918.03
0.962963;1;123;27;203252.03
0.962963;1;124;27;201612.9
0.962963;1;125;27;200000.0
0.962963;1;126;27;198412.7
0.962963;1;127;27;196850.39
0.96428573;1;128;28;195312.5
0.96428573;1;129;28;193798.45
0.96428573;1;130;28;192307.69
0.96428573;1;131;28;190839.69
0.9655172;1;132;29;189393.94
0.9655172;1;133;29;187969.92
0.9655172;1;134;29;186567.17
0.9655172;1;135;29;185185.19
0.9655172;1;136;29;183823.53
0.96666664;1;137;30;182481.75
0.96666664;1;138;30;181159.42
0.96666664;1;139;30;179856.11
0.96666664;1;140;30;178571.42
0.96666664;1;141;30;177304.97
0.9677419;1;142;31;176056.34
0.9677419;1;143;31;174825.17
0.9677419;1;144;31;173611.11
0.9677419;1;145;31;172413.8
0.96875;1;146;32;171232.88
0.96875;1;147;32;170068.03
0.96875;1;148;32;168918.92
0.96875;1;149;32;167785.23
0.96875;1;150;32;166666.67
0.969697;1;151;33;165562.9
0.969697;1;152;33;164473.69
0.969697;1;153;33;163398.69
0.969697;1;154;33;162337.66
0.969697;1;155;33;161290.33
0.9705882;1;156;34;160256.4
0.9705882;1;157;34;159235.67
0.9705882;1;158;34;158227.84
0.9705882;1;159;34;157232.7
0.9714286;1;160;35;156250.0
0.9714286;1;161;35;155279.5
0.9714286;1;162;35;154320.98
0.9714286;1;163;35;153374.23
0.9714286;1;164;35;152439.03
0.9722222;1;165;36;151515.16
0.9722222;1;166;36;150602.4
0.9722222;1;167;36;149700.6
0.9722222;1;168;36;148809.53
0.9722222;1;169;36;147929.0
0.972973;1;170;37;147058.83
0.972973;1;171;37;146198.83
0.972973;1;172;37;145348.84
0.972973;1;173;37;144508.67
0.9736842;1;174;38;143678.16
0.9736842;1;175;38;142857.14
0.9736842;1;176;38;142045.45
0.9736842;1;177;38;141242.94
0.9736842;1;178;38;140449.44
0.974359;1;179;39;139664.8
0.974359;1;180;39;138888.89
0.974359;1;181;39;138121.55
0.974359;1;182;39;137362.64
0.974359;1;183;39;136612.02
0.975;1;184;40;135869.56
0.975;1;185;40;135135.14
0.975;1;186;40;134408.61
0.975;1;187;40;133689.84
0.9756098;1;188;41;132978.72
0.9756098;1;189;41;132275.12
0.9756098;1;190;41;131578.95
0.9756098;1;191;41;130890.055
0.9756098;1;192;41;130208.336
0.97619045;1;193;42;129533.68
0.97619045;1;194;42;128865.98
0.97619045;1;195;42;128205.125
0.97619045;1;196;42;127551.02
0.97619045;1;197;42;126903.555
0.9767442;1;198;43;126262.625
0.9767442;1;199;43;125628.14
0.9767442;1;200;43;125000.0
0.9767442;1;201;43;124378.11
0.97727275;1;202;44;123762.375
0.97727275;1;203;44;123152.71
0.97727275;1;204;44;122549.02
0.97727275;1;205;44;121951.22
0.97727275;1;206;44;121359.23
0.9777778;1;207;45;120772.945
0.9777778;1;208;45;120192.305
0.9777778;1;209;45;119617.23
0.9777778;1;210;45;119047.62
0.9782609;1;211;46;118483.414
0.9782609;1;212;46;117924.53
0.9782609;1;213;46;117370.89
0.9782609;1;214;46;116822.43
0.9782609;1;215;46;116279.07
0.9787234;1;216;47;115740.74
0.9787234;1;217;47;115207.375
0.9787234;1;218;47;114678.9
0.9787234;1;219;47;114155.25
0.9787234;1;220;47;113636.37
0.9791667;1;221;48;113122.17
0.9791667;1;222;48;112612.61
0.9791667;1;223;48;112107.625
0.9791667;1;224;48;111607.14
0.9791667;1;225;48;111111.11
0.97959185;1;226;49;110619.47
0.97959185;1;227;49;110132.16
0.97959185;1;228;49;109649.125
0.97959185;1;229;49;109170.305
0.97959185;1;230;49;108695.65
0.98;1;231;50;108225.11
0.98;1;232;50;107758.62
0.98;1;233;50;107296.14
0.98;1;234;50;106837.61
0.98039216;1;235;51;106382.98
0.98039216;1;236;51;105932.2
0.98039216;1;237;51;105485.234
