Economic power;NEO nominee split;Economic nominee split;Total consensus nodes; Economic Node NEO Support
0.14285715;1;1;7;2.5E7
0.2857143;1;2;7;1.25E7
0.42857143;1;3;7;8333333.5
0.5714286;1;4;7;6250000.0
0.71428573;1;5;7;5000000.0
0.85714287;1;6;7;4166666.8
0.85714287;1;7;7;3571428.5
0.85714287;1;8;7;3125000.0
0.85714287;1;9;7;2777777.8
0.85714287;1;10;7;2500000.0
0.85714287;1;11;7;2272727.2
0.85714287;1;12;7;2083333.4
0.85714287;1;13;7;1923076.9
0.85714287;1;14;7;1785714.2
0.85714287;1;15;7;1666666.6
0.85714287;1;16;7;1562500.0
0.85714287;1;17;7;1470588.2
0.85714287;1;18;7;1388888.9
0.85714287;1;19;7;1315789.5
0.85714287;1;20;7;1250000.0
0.85714287;1;21;7;1190476.2
0.85714287;1;22;7;1136363.6
0.85714287;1;23;7;1086956.5
0.85714287;1;24;7;1041666.7
0.85714287;1;25;7;1000000.0
0.85714287;1;26;7;961538.44
0.85714287;1;27;7;925925.94
0.875;1;28;8;892857.1
0.875;1;29;8;862068.94
0.875;1;30;8;833333.3
0.8888889;1;31;9;806451.6
0.8888889;1;32;9;781250.0
0.8888889;1;33;9;757575.75
0.8888889;1;34;9;735294.1
0.9;1;35;10;714285.7
0.9;1;36;10;694444.44
0.9;1;37;10;675675.7
0.9;1;38;10;657894.75
0.90909094;1;39;11;641025.6
0.90909094;1;40;11;625000.0
0.90909094;1;41;11;609756.1
0.9166667;1;42;12;595238.1
0.9166667;1;43;12;581395.4
0.9166667;1;44;12;568181.8
0.9166667;1;45;12;555555.56
0.9230769;1;46;13;543478.25
0.9230769;1;47;13;531914.9
0.9230769;1;48;13;520833.34
0.9230769;1;49;13;510204.1
0.9285714;1;50;14;500000.0
0.9285714;1;51;14;490196.1
0.9285714;1;52;14;480769.22
0.9285714;1;53;14;471698.12
0.93333334;1;54;15;462962.97
0.93333334;1;55;15;454545.47
0.93333334;1;56;15;446428.56
0.9375;1;57;16;438596.5
0.9375;1;58;16;431034.47
0.9375;1;59;16;423728.8
0.9375;1;60;16;416666.66
0.9411765;1;61;17;409836.06
0.9411765;1;62;17;403225.8
0.9411765;1;63;17;396825.4
0.9411765;1;64;17;390625.0
0.9444444;1;65;18;384615.38
0.9444444;1;66;18;378787.88
0.9444444;1;67;18;373134.34
0.94736844;1;68;19;367647.06
0.94736844;1;69;19;362318.84
0.94736844;1;70;19;357142.84
0.94736844;1;71;19;352112.7
0.95;1;72;20;347222.22
0.95;1;73;20;342465.75
0.95;1;74;20;337837.84
0.95;1;75;20;333333.34
0.95238096;1;76;21;328947.38
0.95238096;1;77;21;324675.3
0.95238096;1;78;21;320512.8
0.95238096;1;79;21;316455.7
0.95454544;1;80;22;312500.0
0.95454544;1;81;22;308641.97
0.95454544;1;82;22;304878.06
0.95652175;1;83;23;301204.8
0.95652175;1;84;23;297619.06
0.95652175;1;85;23;294117.66
0.95652175;1;86;23;290697.7
0.9583333;1;87;24;287356.3
0.9583333;1;88;24;284090.9
0.9583333;1;89;24;280898.88
0.9583333;1;90;24;277777.78
0.96;1;91;25;274725.28
0.96;1;92;25;271739.12
0.96;1;93;25;268817.22
0.96153843;1;94;26;265957.44
0.96153843;1;95;26;263157.9
0.96153843;1;96;26;260416.67
0.96153843;1;97;26;257731.95
0.962963;1;98;27;255102.05
0.962963;1;99;27;252525.25
0.962963;1;100;27;250000.0
0.962963;1;101;27;247524.75
0.96428573;1;102;28;245098.05
0.96428573;1;103;28;242718.45
0.96428573;1;104;28;240384.61
0.96428573;1;105;28;238095.23
0.9655172;1;106;29;235849.06
0.9655172;1;107;29;233644.86
0.9655172;1;108;29;231481.48
0.96666664;1;109;30;229357.8
0.96666664;1;110;30;227272.73
0.96666664;1;111;30;225225.22
0.96666664;1;112;30;223214.28
0.9677419;1;113;31;221238.94
0.9677419;1;114;31;219298.25
0.9677419;1;115;31;217391.3
0.9677419;1;116;31;215517.23
0.96875;1;117;32;213675.22
0.96875;1;118;32;211864.4
0.96875;1;119;32;210084.03
0.969697;1;120;33;208333.33
0.969697;1;121;33;206611.56
0.969697;1;122;33;204918.03
0.969697;1;123;33;203252.03
0.9705882;1;124;34;201612.9
0.9705882;1;125;34;200000.0
0.9705882;1;126;34;198412.7
0.9705882;1;127;34;196850.39
0.9714286;1;128;35;195312.5
0.9714286;1;129;35;193798.45
0.9714286;1;130;35;192307.69
0.9714286;1;131;35;190839.69
0.9722222;1;132;36;189393.94
0.9722222;1;133;36;187969.92
0.9722222;1;134;36;186567.17
0.972973;1;135;37;185185.19
0.972973;1;136;37;183823.53
0.972973;1;137;37;182481.75
0.972973;1;138;37;181159.42
0.9736842;1;139;38;179856.11
0.9736842;1;140;38;178571.42
0.9736842;1;141;38;177304.97
0.9736842;1;142;38;176056.34
0.974359;1;143;39;174825.17
0.974359;1;144;39;173611.11
0.974359;1;145;39;172413.8
0.975;1;146;40;171232.88
0.975;1;147;40;170068.03
0.975;1;148;40;168918.92
0.975;1;149;40;167785.23
0.9756098;1;150;41;166666.67
0.9756098;1;151;41;165562.9
0.9756098;1;152;41;164473.69
0.9756098;1;153;41;163398.69
0.97619045;1;154;42;162337.66
0.97619045;1;155;42;161290.33
0.97619045;1;156;42;160256.4
0.97619045;1;157;42;159235.67
0.9767442;1;158;43;158227.84
0.9767442;1;159;43;157232.7
0.9767442;1;160;43;156250.0
0.9767442;1;161;43;155279.5
0.97727275;1;162;44;154320.98
0.97727275;1;163;44;153374.23
0.97727275;1;164;44;152439.03
0.9777778;1;165;45;151515.16
0.9777778;1;166;45;150602.4
0.9777778;1;167;45;149700.6
0.9777778;1;168;45;148809.53
0.9782609;1;169;46;147929.0
0.9782609;1;170;46;147058.83
0.9782609;1;171;46;146198.83
0.9787234;1;172;47;145348.84
0.9787234;1;173;47;144508.67
0.9787234;1;174;47;143678.16
0.9787234;1;175;47;142857.14
0.9791667;1;176;48;142045.45
0.9791667;1;177;48;141242.94
0.9791667;1;178;48;140449.44
0.9791667;1;179;48;139664.8
0.97959185;1;180;49;138888.89
0.97959185;1;181;49;138121.55
0.97959185;1;182;49;137362.64
0.98;1;183;50;136612.02
0.98;1;184;50;135869.56
0.98;1;185;50;135135.14
0.98;1;186;50;134408.61
0.98039216;1;187;51;133689.84
0.98039216;1;188;51;132978.72
0.98039216;1;189;51;132275.12
0.98039216;1;190;51;131578.95
0.9807692;1;191;52;130890.055
0.9807692;1;192;52;130208.336
0.9807692;1;193;52;129533.68
0.9807692;1;194;52;128865.98
0.9811321;1;195;53;128205.125
0.9811321;1;196;53;127551.02
0.9811321;1;197;53;126903.555
0.9811321;1;198;53;126262.625
0.9814815;1;199;54;125628.14
0.9814815;1;200;54;125000.0
0.9814815;1;201;54;124378.11
0.9818182;1;202;55;123762.375
0.9818182;1;203;55;123152.71
0.9818182;1;204;55;122549.02
0.9818182;1;205;55;121951.22
0.98214287;1;206;56;121359.23
0.98214287;1;207;56;120772.945
0.98214287;1;208;56;120192.305
0.98214287;1;209;56;119617.23
0.98245615;1;210;57;119047.62
0.98245615;1;211;57;118483.414
0.98245615;1;212;57;117924.53
0.98245615;1;213;57;117370.89
0.98275864;1;214;58;116822.43
0.98275864;1;215;58;116279.07
0.98275864;1;216;58;115740.74
0.98275864;1;217;58;115207.375
0.9830508;1;218;59;114678.9
0.9830508;1;219;59;114155.25
0.9830508;1;220;59;113636.37
0.98333335;1;221;60;113122.17
0.98333335;1;222;60;112612.61
0.98333335;1;223;60;112107.625
0.9836066;1;224;61;111607.14
0.9836066;1;225;61;111111.11
0.9836066;1;226;61;110619.47
0.9836066;1;227;61;110132.16
0.983871;1;228;62;109649.125
0.983871;1;229;62;109170.305
0.983871;1;230;62;108695.65
0.984127;1;231;63;108225.11
0.984127;1;232;63;107758.62
0.984127;1;233;63;107296.14
0.984127;1;234;63;106837.61
0.984375;1;235;64;106382.98
0.984375;1;236;64;105932.2
0.984375;1;237;64;105485.234
