Economic power;NEO nominee split;Economic nominee split;Total consensus nodes; Economic Node NEO Support
0.14285715;1;1;7;2.0E7
0.2857143;1;2;7;1.0E7
0.42857143;1;3;7;6666666.5
0.5714286;1;4;7;5000000.0
0.71428573;1;5;7;4000000.0
0.85714287;1;6;7;3333333.2
0.85714287;1;7;7;2857142.8
0.85714287;1;8;7;2500000.0
0.85714287;1;9;7;2222222.2
0.85714287;1;10;7;2000000.0
0.85714287;1;11;7;1818181.9
0.85714287;1;12;7;1666666.6
0.85714287;1;13;7;1538461.5
0.85714287;1;14;7;1428571.4
0.85714287;1;15;7;1333333.4
0.85714287;1;16;7;1250000.0
0.85714287;1;17;7;1176470.6
0.85714287;1;18;7;1111111.1
0.85714287;1;19;7;1052631.6
0.85714287;1;20;7;1000000.0
0.85714287;1;21;7;952380.94
0.85714287;1;22;7;909090.94
0.85714287;1;23;7;869565.2
0.85714287;1;24;7;833333.3
0.85714287;1;25;7;800000.0
0.85714287;1;26;7;769230.75
0.85714287;1;27;7;740740.75
0.85714287;1;28;7;714285.7
0.85714287;1;29;7;689655.2
0.85714287;1;30;7;666666.7
0.85714287;1;31;7;645161.3
0.85714287;1;32;7;625000.0
0.85714287;1;33;7;606060.6
0.85714287;1;34;7;588235.3
0.85714287;1;35;7;571428.56
0.85714287;1;36;7;555555.56
0.85714287;1;37;7;540540.56
0.85714287;1;38;7;526315.8
0.85714287;1;39;7;512820.5
0.85714287;1;40;7;500000.0
0.85714287;1;41;7;487804.88
0.85714287;1;42;7;476190.47
0.85714287;1;43;7;465116.28
0.875;1;44;8;454545.47
0.875;1;45;8;444444.44
0.875;1;46;8;434782.6
0.875;1;47;8;425531.9
0.875;1;48;8;416666.66
0.875;1;49;8;408163.25
0.8888889;1;50;9;400000.0
0.8888889;1;51;9;392156.88
0.8888889;1;52;9;384615.38
0.8888889;1;53;9;377358.5
0.8888889;1;54;9;370370.38
0.8888889;1;55;9;363636.38
0.9;1;56;10;357142.84
0.9;1;57;10;350877.2
0.9;1;58;10;344827.6
0.9;1;59;10;338983.06
0.9;1;60;10;333333.34
0.9;1;61;10;327868.84
0.90909094;1;62;11;322580.66
0.90909094;1;63;11;317460.3
0.90909094;1;64;11;312500.0
0.90909094;1;65;11;307692.3
0.90909094;1;66;11;303030.3
0.90909094;1;67;11;298507.47
0.9166667;1;68;12;294117.66
0.9166667;1;69;12;289855.06
0.9166667;1;70;12;285714.28
0.9166667;1;71;12;281690.16
0.9166667;1;72;12;277777.78
0.9166667;1;73;12;273972.6
0.9230769;1;74;13;270270.28
0.9230769;1;75;13;266666.66
0.9230769;1;76;13;263157.9
0.9230769;1;77;13;259740.27
0.9230769;1;78;13;256410.25
0.9230769;1;79;13;253164.56
0.9285714;1;80;14;250000.0
0.9285714;1;81;14;246913.58
0.9285714;1;82;14;243902.44
0.9285714;1;83;14;240963.86
0.9285714;1;84;14;238095.23
0.9285714;1;85;14;235294.12
0.93333334;1;86;15;232558.14
0.93333334;1;87;15;229885.06
0.93333334;1;88;15;227272.73
0.93333334;1;89;15;224719.1
0.93333334;1;90;15;222222.22
0.93333334;1;91;15;219780.22
0.9375;1;92;16;217391.3
0.9375;1;93;16;215053.77
0.9375;1;94;16;212765.95
